participantId,totalCount,totalAmountValue,totalAmountCurrency,fundDirection,transactionDate
2031228700000000,568,761822400,CNY,D,2023-06-01T00:00:00+08:00
participantId,transactionType,subTotalAmountValue,subTotalAmountCurrency,fundDirection,counterParticipantId,counterParticipantSubTotalAmountValue,counterParticipantSubTotalAmountCurrency,subTotalCount
2031228700000000,TRANSFER,761822400,CNY,D,105WFSG000000001000,761822400,CNY,568
participantId,transactionRequestId,transactionType,originalTransactionRequestId,transactionTime,amount,currency,fundDirection,counterParticipantId,counterParticipantAmountValue,counterParticipantAmountCurrency,quoteId,quotePrice,transactionId
2031228700000000,80547008011,TRANSFER,,2023-06-01T09:55:15+08:00,530500,CNY,D,105WFSG000000001000,530500,CNY,,,2023060119097101000200002624159
2031228700000000,80157195768,TRANSFER,,2023-06-01T20:24:45+08:00,200100,CNY,D,105WFSG000000001000,200100,CNY,,,2023060119097101000690002380912
2031228700000000,80131298520,TRANSFER,,2023-06-01T18:32:57+08:00,53300,CNY,D,105WFSG000000001000,53300,CNY,,,2023060119097101000630002432523
2031228700000000,80253085969,TRANSFER,,2023-06-01T15:17:45+08:00,690800,CNY,D,105WFSG000000001000,690800,CNY,,,2023060119097101000090002372072
2031228700000000,80201335539,TRANSFER,,2023-06-01T10:39:54+08:00,1064600,CNY,D,105WFSG000000001000,1064600,CNY,,,2023060119097101000530002367227
2031228700000000,80108491051,TRANSFER,,2023-06-01T19:51:24+08:00,1651400,CNY,D,105WFSG000000001000,1651400,CNY,,,2023060119097101000530002369609
2031228700000000,80123914368,TRANSFER,,2023-06-01T11:14:23+08:00,2651700,CNY,D,105WFSG000000001000,2651700,CNY,,,2023053119097101000010002368169
2031228700000000,80159012063,TRANSFER,,2023-06-01T20:33:23+08:00,3463700,CNY,D,105WFSG000000001000,3463700,CNY,,,2023060119097101000690002380914
2031228700000000,80128425874,TRANSFER,,2023-06-01T10:48:53+08:00,3201900,CNY,D,105WFSG000000001000,3201900,CNY,,,2023060119097101000030002384099
2031228700000000,80225273506,TRANSFER,,2023-06-01T11:02:01+08:00,264400,CNY,D,105WFSG000000001000,264400,CNY,,,2023060119097101000900002607419
2031228700000000,80101055410,TRANSFER,,2023-06-01T11:23:45+08:00,1599300,CNY,D,105WFSG000000001000,1599300,CNY,,,2023060119097101000230002381335
2031228700000000,80894035781,TRANSFER,,2023-06-01T08:12:15+08:00,2662900,CNY,D,105WFSG000000001000,2662900,CNY,,,2023060119097101000570002374242
2031228700000000,80518448883,TRANSFER,,2023-06-01T14:13:23+08:00,1330000,CNY,D,105WFSG000000001000,1330000,CNY,,,2023060119097101000530002366420
2031228700000000,80138956363,TRANSFER,,2023-06-01T14:19:01+08:00,1010000,CNY,D,105WFSG000000001000,1010000,CNY,,,2023060119097101000040002608167
